USD,JPY,,Bloomberg BGN,,,,,,,
,ATM,,25D RR,,25D BF,,10D RR,,10D BF,
,Mid,Spread,Mid,Spread,Mid,Spread,Mid,Spread,Mid,Spread
1D,23.22,4.5,-2.64,3.15,0.515,2.25,-5.425,5.4,1.465,3.6
1W,17.9,2.1,-2.24,1.47,0.415,1.05,-4.28,2.52,1.195,1.68
2W,15.61,1.8,-2.06,1.26,0.4,0.9,-4.06,2.16,1.17,1.44
3W,14.625,0.45,-1.942,0.315,0.348,0.225,-3.89,0.54,1.11,0.36
1M,13.93,0.5,-1.935,0.35,0.39,0.25,-3.76,0.6,1.245,0.4
2M,14.265,0.5,-2.23,0.35,0.42,0.25,-4.46,0.6,1.37,0.4
3M,13.84,0.45,-2.178,0.315,0.437,0.225,-4.41,0.54,1.41,0.36
4M,13.043,0.525,-1.915,0.37,0.427,0.265,-3.865,0.63,1.395,0.42
5M,12.629,0.588,-1.751,0.413,0.435,0.296,-3.548,0.706,1.445,0.471
6M,12.28,0.65,-1.623,0.455,0.443,0.325,-3.305,0.78,1.46,0.52
9M,11.74,0.4,-1.275,0.28,0.44,0.2,-2.61,0.48,1.47,0.32
1Y,11.22,0.3,-1.115,0.21,0.485,0.15,-2.195,0.36,1.595,0.24
18M,10.645,0.41,-0.968,0.285,0.468,0.205,-1.838,0.495,1.623,0.325
2Y,10.35,0.5,-0.88,0.35,0.475,0.25,-1.625,0.6,1.74,0.4
3Y,9.605,0.9,-0.945,0.63,0.53,0.45,-1.725,1.08,1.96,0.72
4Y,9.195,0.9,-0.965,0.63,0.565,0.45,-1.745,1.08,2.145,0.72
5Y,8.845,1,-0.985,0.7,0.615,0.5,-1.735,1.2,2.37,0.8
6Y,8.772,1.057,-1.893,0.74,0.662,0.528,-3.431,1.269,2.8,0.845
7Y,8.73,1.12,-2.602,0.785,0.7,0.56,-4.558,1.345,3.072,0.895
10Y,8.927,1.125,-4.363,0.785,0.857,0.565,-7.55,1.35,3.525,0.9
15Y,10.475,1.05,-5.5,0.73,1.837,0.525,-9.625,1.26,4.88,0.84
20Y,10.475,1.059,-4.338,0.737,1.395,0.53,-9.328,1.271,4.767,0.848
25Y,10.475,1.077,-4.278,0.749,1.365,0.538,-9.061,1.292,4.666,0.861
30Y,10.475,1.104,-4.224,0.768,1.338,0.552,-8.817,1.325,4.573,0.883
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
